id,year,month,total_sales,registered_car_sales,kei_car_sales,registered_yoy_pct,kei_yoy_pct,ytd_total,ytd_yoy_pct,data_source,crawl_date
723,1996,1,107082,,107082,,4.8,,,kcar_only,2026-06-24
724,1996,2,149135,,149135,,2.6,,,kcar_only,2026-06-24
725,1996,3,217592,,217592,,0.3,,,kcar_only,2026-06-24
726,1996,4,142426,,142426,,,,,kcar_only,2026-06-24
727,1996,5,128201,,128201,,-0.1,,,kcar_only,2026-06-24
728,1996,6,150497,,150497,,-3.9,,,kcar_only,2026-06-24
729,1996,7,155878,,155878,,3.0,,,kcar_only,2026-06-24
730,1996,8,105291,,105291,,-5.6,,,kcar_only,2026-06-24
731,1996,9,146794,,146794,,-8.9,,,kcar_only,2026-06-24
732,1996,10,128527,,128527,,-2.3,,,kcar_only,2026-06-24
733,1996,11,144202,,144202,,-2.6,,,kcar_only,2026-06-24
734,1996,12,129984,,129984,,-1.5,,,kcar_only,2026-06-24
735,1997,1,109617,,109617,,2.4,,,kcar_only,2026-06-24
736,1997,2,154218,,154218,,3.4,,,kcar_only,2026-06-24
737,1997,3,234355,,234355,,7.7,,,kcar_only,2026-06-24
738,1997,4,111881,,111881,,-21.4,,,kcar_only,2026-06-24
739,1997,5,109058,,109058,,-14.9,,,kcar_only,2026-06-24
740,1997,6,138833,,138833,,-7.8,,,kcar_only,2026-06-24
741,1997,7,138863,,138863,,-10.9,,,kcar_only,2026-06-24
742,1997,8,97144,,97144,,-7.7,,,kcar_only,2026-06-24
743,1997,9,148115,,148115,,0.9,,,kcar_only,2026-06-24
744,1997,10,121844,,121844,,-5.2,,,kcar_only,2026-06-24
745,1997,11,130285,,130285,,-9.7,,,kcar_only,2026-06-24
746,1997,12,123258,,123258,,-5.2,,,kcar_only,2026-06-24
747,1998,1,95569,,95569,,-12.8,,,kcar_only,2026-06-24
748,1998,2,127909,,127909,,-17.1,,,kcar_only,2026-06-24
749,1998,3,190318,,190318,,-18.8,,,kcar_only,2026-06-24
750,1998,4,110118,,110118,,-1.6,,,kcar_only,2026-06-24
751,1998,5,102913,,102913,,-5.6,,,kcar_only,2026-06-24
752,1998,6,128061,,128061,,-7.8,,,kcar_only,2026-06-24
753,1998,7,127737,,127737,,-8.0,,,kcar_only,2026-06-24
754,1998,8,93898,,93898,,-3.3,,,kcar_only,2026-06-24
755,1998,9,123944,,123944,,-16.3,,,kcar_only,2026-06-24
756,1998,10,136365,,136365,,11.9,,,kcar_only,2026-06-24
757,1998,11,169673,,169673,,30.2,,,kcar_only,2026-06-24
758,1998,12,144825,,144825,,17.5,,,kcar_only,2026-06-24
759,1999,1,123121,,123121,,28.8,,,kcar_only,2026-06-24
760,1999,2,161285,,161285,,26.1,,,kcar_only,2026-06-24
761,1999,3,238749,,238749,,25.4,,,kcar_only,2026-06-24
762,1999,4,145893,,145893,,32.5,,,kcar_only,2026-06-24
763,1999,5,132839,,132839,,29.1,,,kcar_only,2026-06-24
764,1999,6,165465,,165465,,29.2,,,kcar_only,2026-06-24
765,1999,7,166620,,166620,,30.4,,,kcar_only,2026-06-24
766,1999,8,122308,,122308,,30.3,,,kcar_only,2026-06-24
767,1999,9,173923,,173923,,40.3,,,kcar_only,2026-06-24
768,1999,10,139623,,139623,,2.4,,,kcar_only,2026-06-24
769,1999,11,163290,,163290,,-3.8,,,kcar_only,2026-06-24
770,1999,12,147655,,147655,,2.0,,,kcar_only,2026-06-24
771,2000,1,125383,,125383,,1.8,,,kcar_only,2026-06-24
772,2000,2,170567,,170567,,5.8,,,kcar_only,2026-06-24
773,2000,3,255135,,255135,,6.9,,,kcar_only,2026-06-24
774,2000,4,141600,,141600,,-2.9,,,kcar_only,2026-06-24
775,2000,5,134617,,134617,,1.3,,,kcar_only,2026-06-24
776,2000,6,168794,,168794,,2.0,,,kcar_only,2026-06-24
777,2000,7,163814,,163814,,-1.7,,,kcar_only,2026-06-24
778,2000,8,119699,,119699,,-2.1,,,kcar_only,2026-06-24
779,2000,9,164162,,164162,,-5.6,,,kcar_only,2026-06-24
780,2000,10,133026,,133026,,-4.7,,,kcar_only,2026-06-24
781,2000,11,156052,,156052,,-4.4,,,kcar_only,2026-06-24
782,2000,12,142066,,142066,,-3.8,,,kcar_only,2026-06-24
783,2001,1,122216,,122216,,-2.5,,,kcar_only,2026-06-24
784,2001,2,164926,,164926,,-3.3,,,kcar_only,2026-06-24
785,2001,3,250044,,250044,,-2.0,,,kcar_only,2026-06-24
786,2001,4,137035,,137035,,-3.2,,,kcar_only,2026-06-24
787,2001,5,131346,,131346,,-2.4,,,kcar_only,2026-06-24
788,2001,6,167391,,167391,,-0.8,,,kcar_only,2026-06-24
789,2001,7,159754,,159754,,-2.5,,,kcar_only,2026-06-24
790,2001,8,112504,,112504,,-6.0,,,kcar_only,2026-06-24
791,2001,9,158116,,158116,,-3.7,,,kcar_only,2026-06-24
792,2001,10,141496,,141496,,6.4,,,kcar_only,2026-06-24
793,2001,11,163538,,163538,,4.8,,,kcar_only,2026-06-24
794,2001,12,145154,,145154,,2.2,,,kcar_only,2026-06-24
795,2002,1,120625,,120625,,-1.3,,,kcar_only,2026-06-24
796,2002,2,167401,,167401,,1.5,,,kcar_only,2026-06-24
797,2002,3,240580,,240580,,-3.8,,,kcar_only,2026-06-24
798,2002,4,137964,,137964,,0.7,,,kcar_only,2026-06-24
799,2002,5,136458,,136458,,3.9,,,kcar_only,2026-06-24
800,2002,6,167916,,167916,,0.3,,,kcar_only,2026-06-24
801,2002,7,159585,,159585,,-0.1,,,kcar_only,2026-06-24
802,2002,8,113784,,113784,,1.1,,,kcar_only,2026-06-24
803,2002,9,175906,,175906,,11.3,,,kcar_only,2026-06-24
804,2002,10,131777,,131777,,-6.9,,,kcar_only,2026-06-24
805,2002,11,149609,,149609,,-8.5,,,kcar_only,2026-06-24
806,2002,12,129095,,129095,,-11.1,,,kcar_only,2026-06-24
807,2003,1,120429,,120429,,-0.2,,,kcar_only,2026-06-24
808,2003,2,158587,,158587,,-5.3,,,kcar_only,2026-06-24
809,2003,3,243638,,243638,,1.3,,,kcar_only,2026-06-24
810,2003,4,130977,,130977,,-5.1,,,kcar_only,2026-06-24
811,2003,5,128330,,128330,,-6.0,,,kcar_only,2026-06-24
812,2003,6,154707,,154707,,-7.9,,,kcar_only,2026-06-24
813,2003,7,155366,,155366,,-2.6,,,kcar_only,2026-06-24
814,2003,8,109157,,109157,,-4.1,,,kcar_only,2026-06-24
815,2003,9,167634,,167634,,-4.7,,,kcar_only,2026-06-24
816,2003,10,147546,,147546,,12.0,,,kcar_only,2026-06-24
817,2003,11,147951,,147951,,-1.1,,,kcar_only,2026-06-24
818,2003,12,140433,,140433,,8.8,,,kcar_only,2026-06-24
819,2004,1,131999,,131999,,9.6,,,kcar_only,2026-06-24
820,2004,2,173460,,173460,,9.4,,,kcar_only,2026-06-24
821,2004,3,273671,,273671,,12.3,,,kcar_only,2026-06-24
822,2004,4,139878,,139878,,6.8,,,kcar_only,2026-06-24
823,2004,5,135178,,135178,,5.3,,,kcar_only,2026-06-24
824,2004,6,158349,,158349,,2.4,,,kcar_only,2026-06-24
825,2004,7,161090,,161090,,3.7,,,kcar_only,2026-06-24
826,2004,8,111962,,111962,,2.6,,,kcar_only,2026-06-24
827,2004,9,171350,,171350,,2.2,,,kcar_only,2026-06-24
828,2004,10,134665,,134665,,-8.7,,,kcar_only,2026-06-24
829,2004,11,153122,,153122,,3.5,,,kcar_only,2026-06-24
830,2004,12,146426,,146426,,4.3,,,kcar_only,2026-06-24
831,2005,1,130985,,130985,,-0.8,,,kcar_only,2026-06-24
832,2005,2,171962,,171962,,-0.9,,,kcar_only,2026-06-24
833,2005,3,266022,,266022,,-2.8,,,kcar_only,2026-06-24
834,2005,4,142050,,142050,,1.6,,,kcar_only,2026-06-24
835,2005,5,146383,,146383,,8.3,,,kcar_only,2026-06-24
836,2005,6,166382,,166382,,5.1,,,kcar_only,2026-06-24
837,2005,7,167242,,167242,,3.8,,,kcar_only,2026-06-24
838,2005,8,119349,,119349,,6.6,,,kcar_only,2026-06-24
839,2005,9,175395,,175395,,2.4,,,kcar_only,2026-06-24
840,2005,10,146033,,146033,,8.4,,,kcar_only,2026-06-24
841,2005,11,157780,,157780,,3.0,,,kcar_only,2026-06-24
842,2005,12,134133,,134133,,-8.4,,,kcar_only,2026-06-24
843,2006,1,135094,,135094,,3.1,,,kcar_only,2026-06-24
844,2006,2,181544,,181544,,5.6,,,kcar_only,2026-06-24
845,2006,3,276977,,276977,,4.1,,,kcar_only,2026-06-24
846,2006,4,149363,,149363,,5.1,,,kcar_only,2026-06-24
847,2006,5,147425,,147425,,0.7,,,kcar_only,2026-06-24
848,2006,6,181547,,181547,,9.1,,,kcar_only,2026-06-24
849,2006,7,172396,,172396,,3.1,,,kcar_only,2026-06-24
850,2006,8,126834,,126834,,6.3,,,kcar_only,2026-06-24
851,2006,9,184156,,184156,,5.0,,,kcar_only,2026-06-24
852,2006,10,147847,,147847,,1.2,,,kcar_only,2026-06-24
853,2006,11,166837,,166837,,12.8,,,kcar_only,2026-06-24
854,2006,12,153599,,153599,,14.5,,,kcar_only,2026-06-24
855,2007,1,138267,,138267,,2.3,,,kcar_only,2026-06-24
856,2007,2,182670,,182670,,0.6,,,kcar_only,2026-06-24
857,2007,3,279675,,279675,,1.0,,,kcar_only,2026-06-24
858,2007,4,139783,,139783,,-6.4,,,kcar_only,2026-06-24
859,2007,5,143159,,143159,,-2.9,,,kcar_only,2026-06-24
860,2007,6,170525,,170525,,-6.1,,,kcar_only,2026-06-24
861,2007,7,151864,,151864,,-11.9,,,kcar_only,2026-06-24
862,2007,8,119568,,119568,,-5.7,,,kcar_only,2026-06-24
863,2007,9,171435,,171435,,-6.9,,,kcar_only,2026-06-24
864,2007,10,136994,,136994,,-7.3,,,kcar_only,2026-06-24
865,2007,11,154232,,154232,,-7.6,,,kcar_only,2026-06-24
866,2007,12,131647,,131647,,-14.3,,,kcar_only,2026-06-24
867,2008,1,135004,,135004,,-2.4,,,kcar_only,2026-06-24
868,2008,2,180004,,180004,,-1.5,,,kcar_only,2026-06-24
869,2008,3,258828,,258828,,-7.5,,,kcar_only,2026-06-24
870,2008,4,135834,,135834,,-2.8,,,kcar_only,2026-06-24
871,2008,5,139142,,139142,,-2.8,,,kcar_only,2026-06-24
872,2008,6,165729,,165729,,-2.8,,,kcar_only,2026-06-24
873,2008,7,152025,,152025,,0.1,,,kcar_only,2026-06-24
874,2008,8,116189,,116189,,-2.8,,,kcar_only,2026-06-24
875,2008,9,165826,,165826,,-3.3,,,kcar_only,2026-06-24
876,2008,10,145442,,145442,,6.2,,,kcar_only,2026-06-24
877,2008,11,153100,,153100,,-0.7,,,kcar_only,2026-06-24
878,2008,12,122770,,122770,,-6.7,,,kcar_only,2026-06-24
879,2009,1,127421,,127421,,-5.6,,,kcar_only,2026-06-24
880,2009,2,162370,,162370,,-9.8,,,kcar_only,2026-06-24
881,2009,3,223029,,223029,,-13.8,,,kcar_only,2026-06-24
882,2009,4,117669,,117669,,-13.4,,,kcar_only,2026-06-24
883,2009,5,113540,,113540,,-18.4,,,kcar_only,2026-06-24
884,2009,6,138942,,138942,,-16.2,,,kcar_only,2026-06-24
885,2009,7,141031,,141031,,-7.2,,,kcar_only,2026-06-24
886,2009,8,110286,,110286,,-5.1,,,kcar_only,2026-06-24
887,2009,9,156083,,156083,,-5.9,,,kcar_only,2026-06-24
888,2009,10,132541,,132541,,-8.9,,,kcar_only,2026-06-24
889,2009,11,143124,,143124,,-6.5,,,kcar_only,2026-06-24
890,2009,12,122135,,122135,,-0.5,,,kcar_only,2026-06-24
891,2010,1,128307,,128307,,0.7,,,kcar_only,2026-06-24
892,2010,2,163338,,163338,,0.6,,,kcar_only,2026-06-24
893,2010,3,231195,,231195,,3.7,,,kcar_only,2026-06-24
894,2010,4,130370,,130370,,10.8,,,kcar_only,2026-06-24
895,2010,5,127633,,127633,,12.4,,,kcar_only,2026-06-24
896,2010,6,155279,,155279,,11.8,,,kcar_only,2026-06-24
897,2010,7,153201,,153201,,8.6,,,kcar_only,2026-06-24
898,2010,8,134196,,134196,,21.7,,,kcar_only,2026-06-24
899,2010,9,163292,,163292,,4.6,,,kcar_only,2026-06-24
900,2010,10,111070,,111070,,-16.2,,,kcar_only,2026-06-24
901,2010,11,120354,,120354,,-15.9,,,kcar_only,2026-06-24
902,2010,12,108185,,108185,,-11.4,,,kcar_only,2026-06-24
903,2011,1,118340,,118340,,-7.8,,,kcar_only,2026-06-24
904,2011,2,148658,,148658,,-9.0,,,kcar_only,2026-06-24
905,2011,3,158209,,158209,,-31.6,,,kcar_only,2026-06-24
906,2011,4,76848,,76848,,-41.1,,,kcar_only,2026-06-24
907,2011,5,95209,,95209,,-25.4,,,kcar_only,2026-06-24
908,2011,6,126802,,126802,,-18.3,,,kcar_only,2026-06-24
909,2011,7,131586,,131586,,-14.1,,,kcar_only,2026-06-24
910,2011,8,113332,,113332,,-15.5,,,kcar_only,2026-06-24
911,2011,9,148401,,148401,,-9.1,,,kcar_only,2026-06-24
912,2011,10,133184,,133184,,19.9,,,kcar_only,2026-06-24
913,2011,11,143331,,143331,,19.1,,,kcar_only,2026-06-24
914,2011,12,127245,,127245,,17.6,,,kcar_only,2026-06-24
915,2012,1,152657,,152657,,29.0,,,kcar_only,2026-06-24
916,2012,2,186413,,186413,,25.4,,,kcar_only,2026-06-24
917,2012,3,253929,,253929,,60.5,,,kcar_only,2026-06-24
918,2012,4,150653,,150653,,96.0,,,kcar_only,2026-06-24
919,2012,5,158581,,158581,,66.6,,,kcar_only,2026-06-24
920,2012,6,188189,,188189,,48.4,,,kcar_only,2026-06-24
921,2012,7,184582,,184582,,40.3,,,kcar_only,2026-06-24
922,2012,8,138404,,138404,,22.1,,,kcar_only,2026-06-24
923,2012,9,158207,,158207,,6.6,,,kcar_only,2026-06-24
924,2012,10,133790,,133790,,0.5,,,kcar_only,2026-06-24
925,2012,11,149967,,149967,,4.6,,,kcar_only,2026-06-24
926,2012,12,124074,,124074,,-2.5,,,kcar_only,2026-06-24
927,2013,1,154168,,154168,,1.0,,,kcar_only,2026-06-24
928,2013,2,184926,,184926,,-0.8,,,kcar_only,2026-06-24
929,2013,3,247059,,247059,,-2.7,,,kcar_only,2026-06-24
930,2013,4,151999,,151999,,0.9,,,kcar_only,2026-06-24
931,2013,5,148549,,148549,,-6.3,,,kcar_only,2026-06-24
932,2013,6,183912,,183912,,-2.3,,,kcar_only,2026-06-24
933,2013,7,187794,,187794,,1.7,,,kcar_only,2026-06-24
934,2013,8,149343,,149343,,7.9,,,kcar_only,2026-06-24
935,2013,9,198443,,198443,,25.4,,,kcar_only,2026-06-24
936,2013,10,157082,,157082,,17.4,,,kcar_only,2026-06-24
937,2013,11,180970,,180970,,20.7,,,kcar_only,2026-06-24
938,2013,12,168746,,168746,,36.0,,,kcar_only,2026-06-24
939,2014,1,203659,,203659,,32.1,,,kcar_only,2026-06-24
940,2014,2,228992,,228992,,23.8,,,kcar_only,2026-06-24
941,2014,3,302345,,302345,,22.4,,,kcar_only,2026-06-24
942,2014,4,156361,,156361,,2.9,,,kcar_only,2026-06-24
943,2014,5,156463,,156463,,5.3,,,kcar_only,2026-06-24
944,2014,6,187384,,187384,,1.9,,,kcar_only,2026-06-24
945,2014,7,174377,,174377,,-7.1,,,kcar_only,2026-06-24
946,2014,8,126864,,126864,,-15.1,,,kcar_only,2026-06-24
947,2014,9,203446,,203446,,2.5,,,kcar_only,2026-06-24
948,2014,10,155994,,155994,,-0.7,,,kcar_only,2026-06-24
949,2014,11,176945,,176945,,-2.2,,,kcar_only,2026-06-24
950,2014,12,199960,,199960,,18.5,,,kcar_only,2026-06-24
951,2015,1,164196,,164196,,-19.4,,,kcar_only,2026-06-24
952,2015,2,193754,,193754,,-15.4,,,kcar_only,2026-06-24
953,2015,3,277387,,277387,,-8.3,,,kcar_only,2026-06-24
954,2015,4,121109,,121109,,-22.5,,,kcar_only,2026-06-24
955,2015,5,125754,,125754,,-19.6,,,kcar_only,2026-06-24
956,2015,6,163256,,163256,,-12.9,,,kcar_only,2026-06-24
957,2015,7,142854,,142854,,-18.1,,,kcar_only,2026-06-24
958,2015,8,115745,,115745,,-8.8,,,kcar_only,2026-06-24
