id,year,month,category,passenger_car,bonnet_van,passenger_group_total,cabover_van,truck,cargo_group_total,total,yoy_pct,data_source,crawl_date
373,1996,1,軽四輪車,62748,12419,75167,12640,19275,31915,107082,4.8,zenkeijikyo,2026-06-24
374,1996,2,軽四輪車,87160,15890,103050,18171,27914,46085,149135,2.6,zenkeijikyo,2026-06-24
375,1996,3,軽四輪車,125846,24479,150325,24931,42336,67267,217592,0.3,zenkeijikyo,2026-06-24
376,1996,4,軽四輪車,82253,15605,97858,17937,26631,44568,142426,,zenkeijikyo,2026-06-24
377,1996,5,軽四輪車,70558,13624,84182,16995,27024,44019,128201,-0.1,zenkeijikyo,2026-06-24
378,1996,6,軽四輪車,83082,14748,97830,20892,31775,52667,150497,-3.9,zenkeijikyo,2026-06-24
379,1996,7,軽四輪車,89948,16820,106768,20009,29101,49110,155878,3.0,zenkeijikyo,2026-06-24
380,1996,8,軽四輪車,59000,11245,70245,13778,21268,35046,105291,-5.6,zenkeijikyo,2026-06-24
381,1996,9,軽四輪車,80207,15410,95617,18653,32524,51177,146794,-8.9,zenkeijikyo,2026-06-24
382,1996,10,軽四輪車,72633,12895,85528,16607,26392,42999,128527,-2.3,zenkeijikyo,2026-06-24
383,1996,11,軽四輪車,73800,14142,87942,25091,31169,56260,144202,-2.6,zenkeijikyo,2026-06-24
384,1996,12,軽四輪車,70156,15017,85173,15903,28908,44811,129984,-1.5,zenkeijikyo,2026-06-24
385,1997,1,軽四輪車,63413,10953,74366,13743,21508,35251,109617,2.4,zenkeijikyo,2026-06-24
386,1997,2,軽四輪車,92403,14792,107195,18036,28987,47023,154218,3.4,zenkeijikyo,2026-06-24
387,1997,3,軽四輪車,137113,24247,161360,25377,47618,72995,234355,7.7,zenkeijikyo,2026-06-24
388,1997,4,軽四輪車,64378,11213,75591,14299,21991,36290,111881,-21.4,zenkeijikyo,2026-06-24
389,1997,5,軽四輪車,59835,11036,70871,14759,23428,38187,109058,-14.9,zenkeijikyo,2026-06-24
390,1997,6,軽四輪車,76571,13294,89865,19027,29941,48968,138833,-7.8,zenkeijikyo,2026-06-24
391,1997,7,軽四輪車,81579,14407,95986,15836,27041,42877,138863,-10.9,zenkeijikyo,2026-06-24
392,1997,8,軽四輪車,55272,10171,65443,11118,20583,31701,97144,-7.7,zenkeijikyo,2026-06-24
393,1997,9,軽四輪車,82850,15032,97882,16631,33602,50233,148115,0.9,zenkeijikyo,2026-06-24
394,1997,10,軽四輪車,69702,12758,82460,14433,24951,39384,121844,-5.2,zenkeijikyo,2026-06-24
395,1997,11,軽四輪車,66254,12289,78543,22447,29295,51742,130285,-9.7,zenkeijikyo,2026-06-24
396,1997,12,軽四輪車,67735,13183,80918,14821,27519,42340,123258,-5.2,zenkeijikyo,2026-06-24
397,1998,1,軽四輪車,55868,10495,66363,11467,17739,29206,95569,-12.8,zenkeijikyo,2026-06-24
398,1998,2,軽四輪車,76880,13295,90175,14720,23014,37734,127909,-17.1,zenkeijikyo,2026-06-24
399,1998,3,軽四輪車,112788,21317,134105,20044,36169,56213,190318,-18.8,zenkeijikyo,2026-06-24
400,1998,4,軽四輪車,65249,11934,77183,13179,19756,32935,110118,-1.6,zenkeijikyo,2026-06-24
401,1998,5,軽四輪車,58506,11363,69869,12881,20163,33044,102913,-5.6,zenkeijikyo,2026-06-24
402,1998,6,軽四輪車,69812,14299,84111,17827,26123,43950,128061,-7.8,zenkeijikyo,2026-06-24
403,1998,7,軽四輪車,73152,16687,89839,14272,23626,37898,127737,-8.0,zenkeijikyo,2026-06-24
404,1998,8,軽四輪車,54770,12372,67142,9636,17120,26756,93898,-3.3,zenkeijikyo,2026-06-24
405,1998,9,軽四輪車,67373,13318,80691,15657,27596,43253,123944,-16.3,zenkeijikyo,2026-06-24
406,1998,10,軽四輪車,95195,8326,103521,12087,20757,32844,136365,11.9,zenkeijikyo,2026-06-24
407,1998,11,軽四輪車,114153,9697,123850,18799,27024,45823,169673,30.2,zenkeijikyo,2026-06-24
408,1998,12,軽四輪車,103620,10365,113985,9507,21333,30840,144825,17.5,zenkeijikyo,2026-06-24
409,1999,1,軽四輪車,84310,8160,92470,12881,17770,30651,123121,28.8,zenkeijikyo,2026-06-24
410,1999,2,軽四輪車,105390,11558,116948,18673,25664,44337,161285,26.1,zenkeijikyo,2026-06-24
411,1999,3,軽四輪車,156353,16130,172483,27117,39149,66266,238749,25.4,zenkeijikyo,2026-06-24
412,1999,4,軽四輪車,96644,9641,106285,18518,21090,39608,145893,32.5,zenkeijikyo,2026-06-24
413,1999,5,軽四輪車,87386,9569,96955,15706,20178,35884,132839,29.1,zenkeijikyo,2026-06-24
414,1999,6,軽四輪車,106121,11033,117154,18927,29384,48311,165465,29.2,zenkeijikyo,2026-06-24
