id,year,month,brand,vehicle_type,sales_count,data_source,crawl_date
10103,2022,12,ダイハツ,乗用車(登録車),2600,JADA,2026-06-24
10104,2022,12,ダイハツ,貨物車(登録車),9,JADA,2026-06-24
10105,2022,12,ダイハツ,乗用車(軽),32581,JADA,2026-06-24
10106,2022,12,ダイハツ,貨物車(軽),13946,JADA,2026-06-24
10107,2022,12,日野,貨物車(登録車),2332,JADA,2026-06-24
10108,2022,12,ホンダ,乗用車(登録車),22108,JADA,2026-06-24
10109,2022,12,ホンダ,乗用車(軽),21858,JADA,2026-06-24
10110,2022,12,ホンダ,貨物車(軽),2619,JADA,2026-06-24
10111,2022,12,いすゞ,貨物車(登録車),4404,JADA,2026-06-24
10112,2022,12,レクサス,乗用車(登録車),3074,JADA,2026-06-24
10113,2022,12,マツダ,乗用車(登録車),9320,JADA,2026-06-24
10114,2022,12,マツダ,貨物車(登録車),348,JADA,2026-06-24
10115,2022,12,マツダ,乗用車(軽),1978,JADA,2026-06-24
10116,2022,12,マツダ,貨物車(軽),537,JADA,2026-06-24
10117,2022,12,三菱,乗用車(登録車),3600,JADA,2026-06-24
10118,2022,12,三菱,乗用車(軽),2737,JADA,2026-06-24
10119,2022,12,三菱,貨物車(軽),723,JADA,2026-06-24
10120,2022,12,三菱ふそう,貨物車(登録車),3150,JADA,2026-06-24
10121,2022,12,日産,乗用車(登録車),17193,JADA,2026-06-24
10122,2022,12,日産,貨物車(登録車),2940,JADA,2026-06-24
10123,2022,12,日産,乗用車(軽),11840,JADA,2026-06-24
10124,2022,12,日産,貨物車(軽),2483,JADA,2026-06-24
10125,2022,12,スバル,乗用車(登録車),6836,JADA,2026-06-24
10126,2022,12,スバル,乗用車(軽),745,JADA,2026-06-24
10127,2022,12,スバル,貨物車(軽),572,JADA,2026-06-24
10128,2022,12,スズキ,乗用車(登録車),9333,JADA,2026-06-24
10129,2022,12,スズキ,乗用車(軽),31134,JADA,2026-06-24
10130,2022,12,スズキ,貨物車(軽),9472,JADA,2026-06-24
10131,2022,12,トヨタ,乗用車(登録車),80347,JADA,2026-06-24
10132,2022,12,トヨタ,貨物車(登録車),13352,JADA,2026-06-24
10133,2022,12,トヨタ,乗用車(軽),662,JADA,2026-06-24
10134,2022,12,トヨタ,貨物車(軽),1385,JADA,2026-06-24
10135,2022,12,UDトラックス,貨物車(登録車),1008,JADA,2026-06-24
10136,2022,12,ABARTH,乗用車(登録車),214,JADA,2026-06-24
10137,2022,12,Alfa Romeo,乗用車(登録車),148,JADA,2026-06-24
10138,2022,12,Aston Martin,乗用車(登録車),28,JADA,2026-06-24
10139,2022,12,Audi,乗用車(登録車),2181,JADA,2026-06-24
10140,2022,12,Bentley,乗用車(登録車),49,JADA,2026-06-24
10141,2022,12,BMW,乗用車(登録車),3003,JADA,2026-06-24
10142,2022,12,BMW Alpina,乗用車(登録車),14,JADA,2026-06-24
10143,2022,12,BMW MINI,乗用車(登録車),1898,JADA,2026-06-24
10144,2022,12,Cadillac,乗用車(登録車),75,JADA,2026-06-24
10145,2022,12,Chevrolet,乗用車(登録車),65,JADA,2026-06-24
10146,2022,12,Chevrolet,貨物車(登録車),4,JADA,2026-06-24
