id,brand,model,price_total,price_vehicle,year,mileage,displacement,transmission,prefecture,category,link,crawl_date,year_ce,mileage_wan_km,displacement_cc,vehicle_class,brand_clean,brand_origin
1,日産,リーフ X Vセレクション 40kW/h 電気自動車 プロパイロット 衝突被害軽減ブレーキ 踏み間違い防止アシスト EV専用ナビ Bluetooth DVDビデオ再生 フルセグTVアラウンドビューモニター 12セグメント LEDヘッドライト,128.0,112.0,"2019
(R01)","1.5
万km",,AT,Osaka,国产车,/usedcar/detail/AU7074473484/index.html,2026-06-21,2019,1.5,,Luxury (3001cc+),Nissan,Domestic
2,スバル,インプレッサG4 2.0 i-S アイサイト 4WD ESコアテクノロジー/ESセイフティプラス(運転支援/視界拡張)/アクティブトルクベクタリング/クリアビューパック/18インチAW/Pシート/DOP純正ナビ/フルセグTV/DVD再生/Bluetooth/バックカメラ/純正ドラレコ,99.9,85.6,"2018
(H30)","8.2
万km",2000CC,MT,Chiba,国产车,/usedcar/detail/AU7083034068/index.html,2026-06-21,2018,8.2,2000.0,Mid-size (1501-2000cc),Subaru,Domestic
3,日産,ノート 1.2 S SDナビ 全周囲カメラ 衝突被害軽減システム デジタルインナーミラー 禁煙車 コーナーセンサー スマートキー ETC オートハイビーム オートライト オートエアコン Bluetooth CD DVD,99.9,84.6,"2022
(R04)","8.7
万km",1200CC,AT,Ibaraki,国产车,/usedcar/detail/AU6972803269/index.html,2026-06-21,2022,8.7,1200.0,Compact (<=1500cc),Nissan,Domestic
4,日産,スカイライン 3.0 GT タイプP 後期 ツインターボ 1オーナー 禁煙車 純正18インチAW 黒革 シートヒーター シートメモリ パワーシート 全方位運転支援システム LEDヘッド 革巻きステアリング スマートキー ETC,242.9,229.3,"2020
(R02)","2.7
万km",3000CC,7AT,Aichi,国产车,/usedcar/detail/AU6953959849/index.html,2026-06-21,2020,2.7,3000.0,Large (2001-3000cc),Nissan,Domestic
5,ホンダ,N-BOX 660 届出済未使用車 電動スライドドア 衝突被害軽減システム レーダークルーズ コーナーセンサー スマートキー LEDヘッド 純正16インチアルミ 車線逸脱警報 オートライト オートエアコン,152.9,143.1,"2026
(R08)","10
km",660CC,CVT,Osaka,国产车,/usedcar/detail/AU7085728606/index.html,2026-06-21,2026,0.001,660.0,K-car (<=660cc),Honda,Domestic
6,日産,デイズルークス 660 ハイウェイスター ターボ 純正ナビ 全周囲カメラ 両側電動ドア 衝突被害軽減システム 禁煙車 ドラレコ スマートキー HIDヘッド ETC 純正15インチAW オートライト オートエアコン Bluetooth CD DVD再生,49.9,39.2,"2015
(H27)","5.8
万km",660CC,CVT,Ibaraki,国产车,/usedcar/detail/AU6950024768/index.html,2026-06-21,2015,5.8,660.0,K-car (<=660cc),Nissan,Domestic
7,スズキ,ハスラー 660 ハイブリッド G 4WD SDナビ 衝突被害軽減 アダプティブクルーズ 禁煙車 シートヒーター コーナーセンサー LEDヘッド ETC オートハイビーム 車線逸脱警報 オートライト オートエアコン Bluetooth,159.9,151.4,"2025
(R07)","0.9
万km",660CC,CVT,Niigata,国产车,/usedcar/detail/AU7066581295/index.html,2026-06-21,2025,0.9,660.0,K-car (<=660cc),Suzuki,Domestic
8,ダイハツ,ミラココア 660 プラス X 純正ナビ ETC オートエアコン スマートキー アイドリングストップ LEDヘッドライト ルーフレール 電動格納ミラー 運転席&助手席エアバッグ 盗難防止システム 衝突安全ボディ,59.9,51.9,"2014
(H26)","3.7
万km",660CC,CVT,Gunma,国产车,/usedcar/detail/AU6963782272/index.html,2026-06-21,2014,3.7,660.0,K-car (<=660cc),Daihatsu,Domestic
9,日産,リーフ AUTECH メーカーナビ 前後ドラレコ ETC2.0 プロパイロット シートヒーター 全周囲カメラ 障害物センサー 衝突被害軽減ブレーキ アクセル踏み間違い防止,107.9,98.0,"2020
(R02)","8
万km",,AT,Fukuoka,国产车,/usedcar/detail/AU7084990035/index.html,2026-06-21,2020,8.0,,Luxury (3001cc+),Nissan,Domestic
10,ダイハツ,ミライース 660 L キーレス エコアイドル,59.8,51.0,"2022
(R04)","1
万km",660CC,CVT,Aichi,国产车,/usedcar/detail/AU6806808054/index.html,2026-06-21,2022,1.0,660.0,K-car (<=660cc),Daihatsu,Domestic
11,日産,キャラバン 2.0 グランド プレミアムGX ロングボディ 15インチアルミ/ベッドキット/アラウンドビューモニター/インテリジェントルームミラー/衝突軽減ブレーキ/LEDヘッドライト/純正7インチナビ/ETC/両側小窓付きスライドドア/キャンピングカー,337.0,319.8,"2024
(R06)","0.8
万km",2000CC,7AT,Aichi,国产车,/usedcar/detail/AU6956742316/index.html,2026-06-21,2024,0.8,2000.0,Mid-size (1501-2000cc),Nissan,Domestic
12,スズキ,アルトラパン 660 アンセルバージョン AM/FMラジオ付CD キーレスエントリー,39.8,30.6,"2005
(H17)","0.4
万km",660CC,4AT,Kanagawa,国产车,/usedcar/detail/AU6952153074/index.html,2026-06-21,2005,0.4,660.0,K-car (<=660cc),Suzuki,Domestic
13,ホンダ,N-BOX 660 L 純正ディスプレイオーディオ バックカメラ 衝突被害軽減システム 電動スライド 禁煙車 コーナーセンサー スマートキー LEDヘッド ビルトインETC オートハイビーム 車線逸脱警報 オートライト,89.9,79.4,"2021
(R03)","8
万km",660CC,CVT,Ibaraki,国产车,/usedcar/detail/AU7019128400/index.html,2026-06-21,2021,8.0,660.0,K-car (<=660cc),Honda,Domestic
14,日産,ティアナ 2.5 XL コネクトナビゲーションシステム(SDナビ・CD・DVD・地デジ・アラウンドビュー・LDW・BSW・クルコン)/衝突軽減/踏み間違い防止/HIDヘッドランプ/オートライト/前席パワーシート/助手席オットマン/ビルトインETC,84.9,69.9,"2015
(H27)","3
万km",2500CC,CVT,Chiba,国产车,/usedcar/detail/AU7015936607/index.html,2026-06-21,2015,3.0,2500.0,Large (2001-3000cc),Nissan,Domestic
15,日産,リーフ S メモリーナビ バックカメラ シートヒーター LEDヘッドライト,115.7,103.0,"2021
(R03)","3.9
万km",,AT,Mie,国产车,/usedcar/detail/AU7005773456/index.html,2026-06-21,2021,3.9,,Luxury (3001cc+),Nissan,Domestic
16,トヨタ,ハイエースバン 2.7 スーパーGL ダークプライムII ワイド ミドルルーフ ロングボディ 1オーナー/ナビTV/Bカメラ/ETC/デジタルインナーM/パノラミックビューM/両側パワスラ/フロントスポイラー/17inアルミ/ローダウン/LEDテール/BOXタイプベッド,448.0,429.8,"2022
(R04)","1.5
万km",2700CC,MT,Aichi,国产车,/usedcar/detail/AU6917845578/index.html,2026-06-21,2022,1.5,2700.0,Large (2001-3000cc),Toyota,Domestic
17,ホンダ,N-BOX 660 G ターボLパッケージ 2トーンカラースタイル 両側電動ドア 純正ナビ バックカメラ bluetooth フルセグ クルーズコントロール ETC オートライト オートエアコン スマートキー 電動格納ミラー バニティミラー,46.9,40.3,"2015
(H27)","11.7
万km",660CC,CVT,Aichi,国产车,/usedcar/detail/AU7024899459/index.html,2026-06-21,2015,11.7,660.0,K-car (<=660cc),Honda,Domestic
18,日産,デイズルークス 660 X Vセレクション +SafetyII 純正ナビ/DVD対応/アラウンドビューモニタ-/ETC/両側オートスライドドア/,55.8,48.0,"2015
(H27)","6.3
万km",660CC,CVT,Fukuoka,国产车,/usedcar/detail/AU7069126263/index.html,2026-06-21,2015,6.3,660.0,K-car (<=660cc),Nissan,Domestic
19,ダイハツ,ミライース 660 G リミテッド SAIII 特別仕様車 禁煙車 衝突軽減 SDナビ バックカメラ Bluetooth ドライブレコーダー LEDヘッド オートライト スマートキー 前席シートヒーター USB入力端子 電動格納ミラー CD再生,82.9,75.5,"2021
(R03)","1.8
万km",660CC,CVT,Aichi,国产车,/usedcar/detail/AU7090871484/index.html,2026-06-21,2021,1.8,660.0,K-car (<=660cc),Daihatsu,Domestic
20,スバル,インプレッサスポーツ HV 2.0i-S アイサイト 4WD 純正ナビ ETC Bカメラ 追従クルコン,119.8,112.8,"2016
(H28)","4.6
万km",2000CC,MT,Akita,国产车,/usedcar/detail/AU7068101639/index.html,2026-06-21,2016,4.6,2000.0,Mid-size (1501-2000cc),Subaru,Domestic
21,スバル,インプレッサG4 2.0 i-L アイサイト 4WD 純正ナビ ETC ドラレコ 衝突軽減,159.8,152.6,"2022
(R04)","5.9
万km",2000CC,MT,Akita,国产车,/usedcar/detail/AU7040012430/index.html,2026-06-21,2022,5.9,2000.0,Mid-size (1501-2000cc),Subaru,Domestic
22,トヨタ,クラウンアスリート ハイブリッド 2.5 S Four 4WD 障害物センサー シートヒーター 4WD ハイブリッド ナビ&TV メモリーナビ フルセグ バックカメラ ドラレコ DVD再生 ミュージックプレイヤー接続可 衝突被害軽減システム ETC 電動シート,273.2,262.9,"2016
(H28)","3.2
万km",2500CC,CVT,Gifu,国产车,/usedcar/detail/AU6978305659/index.html,2026-06-21,2016,3.2,2500.0,Large (2001-3000cc),Toyota,Domestic
23,日産,ノート 1.2 X 純正ナビ/CD/DVD再生/Bluetooth/フルセグ/全方位カメラ/デジタルインナーミラー/ドライブレコーダー/ETC/衝突軽減ブレーキ/レーンキープアシスト/ブラインドスポットモニター/電動格納ミラー/横滑り防止機能/禁煙車,136.2,129.8,"2022
(R04)","5.6
万km",1200CC,AT,Hokkaido,国产车,/usedcar/detail/AU7043497858/index.html,2026-06-21,2022,5.6,1200.0,Compact (<=1500cc),Nissan,Domestic
24,マツダ,デミオ 1.3 13S ミッド センチュリー 禁煙車 マツダコネクトナビ バックカメラ ドラレコ ETC 衝突軽減装備 シートヒーター スマートキー シートヒーター CD/DVD/フルセグ Bluetooth接続可 LEDヘッド オートライト オートエアコン 純正15インチAW,74.9,58.2,"2015
(H27)","5.5
万km",1300CC,MT,Miyagi,国产车,/usedcar/detail/AU7067639763/index.html,2026-06-21,2015,5.5,1300.0,Compact (<=1500cc),Mazda,Domestic
25,ダイハツ,ミラココア 660 L 純正ラジオオーディオ CD再生 禁煙車,49.9,39.3,"2017
(H29)","4
万km",660CC,CVT,Tochigi,国产车,/usedcar/detail/AU6884590527/index.html,2026-06-21,2017,4.0,660.0,K-car (<=660cc),Daihatsu,Domestic
